one,Average1,SD1,P value1,two,Average2,SD2,P value2
GPX3-McRBC-PT7,GPX3-McRBC-PT7,SD,P value,GPX3-RE-PT7,GPX3-RE-PT7,SD,P value 
Air,1,0.41,,Air,1,0.09,
4L/min,1.64,0.45,,4L/min,0.84,0.89,
1L/min,1.69,1.21,,1L/min,0.99,0.25,
0.5L/min,0.15,0.03,,0.5L/min,0.36,0.3,
,Average,SD,,,Average,SD,
SINE-McRBC-PT7,SINE-McRBC-PT7,SD,P value,SINE-RE-PT7,SINE-RE-PT7,SD,P value
Air,1,0.14,,Air,1,0.18,
4L/min,1.44,0.44,,4L/min,1.08,0.33,
1L/min,1.98,0.03,,1L/min,1.42,0.11,
0.5L/min,1.26,0.1,,0.5L/min,1.03,0.06,
,Average,SD,,,Average,SD,
AHRR-McRBC-PT7,AHRR-McRBC-PT7,SD,P value,AHRR-RE-PT7,AHRR-RE-PT7,SD,P value
Air,1,0.08,,Air,0.98,0.33,
4L/min,0.96,0.11,,4L/min,1.25,0.14,
1L/min,1.08,0.19,,1L/min,1.27,0.18,
0.5L/min,0.71,0.01,,0.5L/min,0.81,0.06,
,Average,SD,,,Average,SD,
CY1P1A1-McRBC-PT7,CY1P1A1-McRBC-PT7,SD,P value,CY1P1A1-RE-PT7,CY1P1A1-RE-PT7,SD,P value
Air,1,0.33,,Air,1,0.46,
4L/min,1.35,0.43,,4L/min,0.9,0.15,
1L/min,1.38,0.54,,1L/min,1.56,0.04,
0.5L/min,0.81,0.4,,0.5L/min,0.7,0.22,
,Average,SD,,,Average,SD,
ORF2-McRBC-PT7,ORF2-McRBC-PT7,SD,P value,ORF2-RE-PT7,ORF2-RE-PT7,SD,P value
Air,1,0.31,,Air,1,0.31,
4L/min,1.2,0.28,,4L/min,1.39,0.48,
1L/min,1.58,0.36,,1L/min,1.32,0.21,
0.5L/min,1.43,0.49,,0.5L/min,1.98,0.15,
,Average,SD,,,Average,SD,
5 UTR S2-McRBC-PT7,5 UTR S2-McRBC-PT7,SD,P value,5 UTR S2-RE-PT7,5 UTR S2-RE-PT7,SD,P value
Air,1,0.36,,Air,1,0.5,
4L/min,0.97,0.08,,4L/min,1.13,0.49,
1L/min,1.24,0.04,,1L/min,0.9,0.09,
0.5L/min,1.21,0.06,,0.5L/min,1.02,0.16,
,Average,SD,,,Average,SD,
ALU-RT-McRBC-PT7,ALU-RT-McRBC-PT7,SD,P value,ALU-RT-RE-PT7,ALU-RT-RE-PT7,SD,P value
Air,1,0.26,,Air,1,0.3,
4L/min,1.05,0.57,,4L/min,1.1,0.19,
1L/min,1.52,0.11,,1L/min,1.43,0.3,
0.5L/min,1.27,0.06,,0.5L/min,1.36,0.23,
,Average,SD,,,Average,SD,
HS 5 UTR -McRBC-PT7,HS 5 UTR -McRBC-PT7,SD,P value,HS 5 UTR -RE-PT7,HS 5 UTR -RE-PT7,SD,P value
Air,1,0.41,,Air,1,0.21,
4L/min,0.79,0.06,,4L/min,0.9,0.37,
1L/min,1.31,0.36,,1L/min,1.12,0.23,
0.5L/min,0.87,0.16,,0.5L/min,0.92,0.38,
,Average,SD,,,Average,SD,
ORF1-McRBC-PT7,ORF1-McRBC-PT7,SD,P value,ORF1-RE-PT7,ORF1-RE-PT7,SD,P value
Air,1,0.51,,Air,1,0.41,
4L/min,1.22,0.68,,4L/min,1.55,0.71,
1L/min,1.41,0.15,,1L/min,2.04,0.3,
0.5L/min,1.1,0.02,,0.5L/min,1.77,0.16,
,Average,SD,,,Average,SD,
5 UTR S3-McRBC-PT7,5 UTR S3-McRBC-PT7,SD,P value,5 UTR S3-RE-PT7,5 UTR S3-RE-PT7,SD,P value
Air,1,0.09,,Air,1,0.41,
4L/min,0.98,0.41,,4L/min,1.1,0.48,
1L/min,1.64,0.04,,1L/min,1.57,0.59,
0.5L/min,1.25,0.14,,0.5L/min,1.38,0.37,
,Average,SD,,,Average,SD,
HS 3 UTR-McRBC-PT7,HS 3 UTR-McRBC-PT7,SD,P value,HS 3 UTR -RE-PT7,HS 3 UTR -RE-PT7,SD,P value
Air,1,0.15,,Air,1,0.89,
4L/min,0.97,0.06,,4L/min,1.54,0.4,
1L/min,1.33,0.4,,1L/min,2.25,0.96,
0.5L/min,1.29,0.04,,0.5L/min,2.02,0.08,