one,Average1,SD1,P value1,two,Average1,SD2,P value2
GPX3-McRBC-T1,GPX3-McRBC-T1,SD,,GPX3-RE-T1,GPX3-RE-T1,SD,
Air,1,0.16,,Air,1,0.02,
4L/min,0.8,0.02,,4L/min,1.32,0.14,
1L/min,0.77,0.1,,1L/min,1.23,0.15,
0.5L/min,0.69,0.18,,0.5L/min,0.59,0.11,
,Average,SD,,,Average,SD,
SINE-McRBC-T1,SINE-McRBC-T1,SD,P value,SINE-RE-T1,SINE-RE-T1,SD,P value
Air,1,0.05,,Air,1,0.04,
4L/min,0.88,0.21,,4L/min,0.81,0.06,
1L/min,0.88,0.04,,1L/min,0.86,0.06,
0.5L/min,0.83,0.11,,0.5L/min,0.8,0.07,
,Average,SD,,,Average,SD,
AHRR-McRBC-T1,AHRR-McRBC-T1,SD,P value,AHRR-RE-T1,AHRR-RE-T1,SD,P value
Air,1,0.21,,Air,1,0.26,
4L/min,0.91,0.02,,4L/min,1.88,0.04,
1L/min,1.25,0.25,,1L/min,1.2,0.27,
0.5L/min,1.14,0.03,,0.5L/min,1.42,0.26,
,Average,SD,,,Average,SD,
CY1P1A1-McRBC-T1,CY1P1A1-McRBC-T1,SD,P value,CY1P1A1-RE-T1,CY1P1A1-RE-T1,SD,P value
Air,1,0.3,,Air,1,0.18,
4L/min,0.65,0.24,,4L/min,0.21,0.11,
1L/min,0.76,0.09,,1L/min,0.72,0.18,
0.5L/min,0.76,0.08,,0.5L/min,0.69,0.21,
,Average,SD,,,Average,SD,
ORF2-McRBC-T1,ORF2-McRBC-T1,SD,P value,ORF2-RE-T1,ORF2-RE-T1,SD,P value
Air,1,0.09,,Air,1,0.48,
4L/min,1.36,0.33,,4L/min,1.04,0.14,
1L/min,0.83,0.11,,1L/min,0.8,0.1,
0.5L/min,0.38,0.07,,0.5L/min,0.38,0.12,
,Average,SD,,,Average,SD,
5 UTR S2-McRBC-T1,5 UTR S2-McRBC-T1,SD,P value,5 UTR S2-RE-T1,5 UTR S2-RE-T1,SD,P value
Air,1,0.27,,Air,1,0.29,
4L/min,1.14,0.21,,4L/min,0.98,0.13,
1L/min,0.78,0.19,,1L/min,0.76,0.01,
0.5L/min,0.41,0.17,,0.5L/min,0.55,0.27,
,Average,SD,,,Average,SD,
ALU-RT-McRBC-T1,ALU-RT-McRBC-T1,SD,P value,ALU-RT-RE-T1,ALU-RT-RE-T1,SD,P value
Air,1,0.01,,Air,1,0.26,
4L/min,0.8,0.18,,4L/min,0.71,0.1,
1L/min,0.39,0.07,,1L/min,0.6,0.12,
0.5L/min,0.31,0.01,,0.5L/min,0.33,0.15,
,Average,SD,,,Average,SD,
HS 5 UTR -McRBC,HS 5 UTR -McRBC-T1,SD,P value,HS 5 UTR -RE-T1,HS 5 UTR -RE-T1,SD,P value
Air,1,0.02,,Air,1,0.42,
4L/min,1.13,0.32,,4L/min,0.91,0.32,
1L/min,0.8,0.09,,1L/min,0.65,0.06,
0.5L/min,0.55,0.26,,0.5L/min,0.36,0.31,
,Average,SD,,,Average,SD,
ORF1-McRBC-T1,ORF1-McRBC-T1,SD,P value,ORF1-RE-T1,ORF1-RE-T1,SD,P value
Air,1,0.06,,Air,1,0.39,
4L/min,1.38,0.22,,4L/min,0.81,0.06,
1L/min,1.04,0.14,,1L/min,0.96,0.19,
0.5L/min,0.54,0.09,,0.5L/min,0.29,0.18,
,Average,SD,,,Average,SD,
5 UTR S3-McRBC-T1,5 UTR S3-McRBC-T1,SD,P value,5 UTR S3-RE-T1,5 UTR S3-RE-T1,SD,P value
Air,1,0.1,,Air,1,0.4,
4L/min,0.6,0.06,,4L/min,0.61,0.11,
1L/min,0.54,0.22,,1L/min,0.55,0.16,
0.5L/min,0.41,0.03,,0.5L/min,0.5,0.14,
,Average,SD,,,Average,SD,
HS 3 UTR-McRBC-T1,HS 3 UTR-McRBC-T1,SD,P value,HS 3 UTR -RE-T1,HS 3 UTR -RE-T1,SD,P value
Air,1,0.11,,Air,1,0.22,
4L/min,1.37,0.36,,4L/min,1.01,0.63,
1L/min,0.71,0.25,,1L/min,0.62,0.05,
0.5L/min,0.65,0.24,,0.5L/min,0.66,0.41,